                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     28,                0.64726,                0.60693,                0.96135,                0.93383,                0.93483,                0.95284,                0.79896,                0.66431,                0.48254,                 0.9428,             0.00029308,             0.00029308,             0.00029308
                     29,                 0.6563,                0.59713,                0.97047,                0.93451,                0.91179,                0.95342,                0.80391,                0.64879,                0.50273,                0.93778,             0.00028912,             0.00028912,             0.00028912
                     30,                0.63582,                0.57317,                0.94729,                0.93102,                0.89666,                0.95067,                0.79756,                0.65342,                0.53024,                0.94629,             0.00028516,             0.00028516,             0.00028516
                     31,                0.64352,                0.58067,                0.95878,                0.95751,                0.92785,                0.96576,                0.81314,                0.65962,                0.46312,                0.94568,              0.0002812,              0.0002812,              0.0002812
                     32,                0.63601,                0.56889,                0.95392,                 0.9459,                0.92354,                0.95887,                0.80423,                0.66769,                 0.4731,                0.94901,             0.00027724,             0.00027724,             0.00027724
                     33,                 0.6354,                0.56188,                0.94981,                0.91096,                0.90366,                0.94681,                0.79322,                0.66204,                 0.5227,                 0.9458,             0.00027328,             0.00027328,             0.00027328
                     34,                0.62346,                 0.5403,                0.95043,                 0.9051,                0.91985,                0.95273,                0.79556,                0.67534,                0.49977,                0.95461,             0.00026932,             0.00026932,             0.00026932
                     35,                0.62327,                0.55415,                0.95109,                0.94836,                 0.9152,                 0.9581,                0.80575,                0.65229,                0.45809,                0.94792,             0.00026536,             0.00026536,             0.00026536
                     36,                0.61856,                0.52457,                0.94636,                0.94107,                0.92125,                0.96434,                0.81475,                0.65327,                0.45639,                0.94346,              0.0002614,              0.0002614,              0.0002614
                     37,                0.61019,                0.52523,                0.94323,                0.92977,                0.91012,                0.94915,                0.79932,                0.65215,                0.49085,                0.94628,             0.00025744,             0.00025744,             0.00025744
                     38,                0.61109,                0.51566,                0.94622,                0.92374,                0.93781,                0.96026,                0.80939,                0.64797,                0.44124,                0.94651,             0.00025348,             0.00025348,             0.00025348
                     39,                0.59832,                 0.5048,                0.94263,                0.92264,                0.93445,                0.95497,                0.80444,                0.66076,                0.45149,                  0.948,             0.00024952,             0.00024952,             0.00024952
                     40,                0.59924,                0.51477,                0.93886,                 0.9388,                0.93718,                0.96529,                0.80803,                0.65459,                0.43086,                0.94905,             0.00024556,             0.00024556,             0.00024556
                     41,                0.60306,                0.49743,                0.94151,                0.94582,                0.92163,                0.96196,                0.81139,                0.65976,                0.45326,                0.94203,              0.0002416,              0.0002416,              0.0002416
                     42,                0.60071,                0.50829,                0.94482,                0.93708,                 0.9383,                0.96701,                0.81598,                0.63906,                  0.418,                0.93472,             0.00023764,             0.00023764,             0.00023764
                     43,                0.58545,                0.47868,                 0.9349,                0.96102,                0.91626,                0.96206,                0.81701,                0.63958,                 0.4364,                0.93564,             0.00023368,             0.00023368,             0.00023368
                     44,                0.57922,                0.48009,                0.93386,                0.94391,                0.92615,                0.95915,                0.81229,                0.65407,                0.44277,                0.94838,             0.00022972,             0.00022972,             0.00022972
                     45,                0.59167,                0.48928,                0.93553,                 0.9392,                0.93571,                0.95688,                0.80439,                 0.6644,                0.44092,                0.94871,             0.00022576,             0.00022576,             0.00022576
                     46,                0.58399,                0.48341,                0.93215,                0.95044,                0.92047,                 0.9576,                0.80984,                0.64785,                0.43647,                 0.9401,              0.0002218,              0.0002218,              0.0002218
                     47,                0.57888,                 0.4731,                0.93599,                0.95428,                0.91812,                0.95288,                0.80665,                0.65504,                0.46374,                0.94236,             0.00021784,             0.00021784,             0.00021784
                     48,                0.57701,                0.45638,                0.93076,                0.96037,                0.92918,                0.96323,                0.81243,                0.65943,                0.42888,                0.94373,             0.00021388,             0.00021388,             0.00021388
                     49,                0.58442,                0.47053,                0.93563,                0.94698,                0.91818,                0.95648,                 0.8064,                0.66028,                0.43287,                0.94316,             0.00020992,             0.00020992,             0.00020992
                     50,                0.56591,                0.44537,                0.92405,                0.94709,                0.93473,                0.96239,                 0.8153,                0.64625,                0.42792,                0.93672,             0.00020596,             0.00020596,             0.00020596
                     51,                0.57278,                0.44729,                 0.9292,                0.94496,                0.92681,                0.95601,                0.80699,                0.64839,                 0.4324,                0.94311,               0.000202,               0.000202,               0.000202
                     52,                0.55201,                0.44412,                0.92072,                0.94343,                0.91647,                0.94945,                0.80271,                0.65428,                0.45973,                0.94522,             0.00019804,             0.00019804,             0.00019804
                     53,                0.56091,                 0.4478,                0.93008,                0.94436,                0.92771,                0.96651,                0.81703,                0.64891,                0.40736,                0.94412,             0.00019408,             0.00019408,             0.00019408
                     54,                 0.5699,                0.45068,                 0.9323,                0.94503,                0.93325,                0.96457,                0.81155,                0.65254,                0.40519,                0.94255,             0.00019012,             0.00019012,             0.00019012
                     55,                0.55155,                0.43856,                0.92779,                0.96154,                 0.9159,                0.95583,                 0.8057,                0.65984,                0.45297,                0.94592,             0.00018616,             0.00018616,             0.00018616
                     56,                0.55226,                 0.4398,                0.92004,                0.94601,                0.91861,                 0.9553,                 0.8053,                0.64526,                0.43163,                0.93979,              0.0001822,              0.0001822,              0.0001822
                     57,                0.55651,                0.42942,                0.92342,                0.91618,                0.92229,                0.94785,                0.80379,                0.64034,                0.45501,                 0.9342,             0.00017824,             0.00017824,             0.00017824
                     58,                0.53871,                0.41706,                 0.9184,                0.95032,                0.92039,                0.94947,                0.80129,                0.65758,                0.44253,                0.94379,             0.00017428,             0.00017428,             0.00017428
                     59,                0.53651,                0.41295,                 0.9112,                0.95287,                0.91714,                0.95526,                0.80896,                0.65273,                0.42821,                0.94484,             0.00017032,             0.00017032,             0.00017032
                     60,                0.54494,                0.42295,                0.91981,                0.92431,                 0.9318,                0.95469,                0.81345,                0.64521,                0.43356,                0.94105,             0.00016636,             0.00016636,             0.00016636
                     61,                0.52488,                0.40282,                0.91308,                 0.9067,                0.93409,                0.95143,                0.80709,                0.64159,                0.43718,                0.93592,              0.0001624,              0.0001624,              0.0001624
                     62,                0.53625,                0.41566,                0.91956,                0.91851,                0.93728,                0.95158,                0.81193,                0.63887,                0.42572,                0.94592,             0.00015844,             0.00015844,             0.00015844
                     63,                0.52909,                0.41233,                0.91915,                 0.9459,                0.90928,                0.94736,                 0.8022,                0.64406,                0.44557,                0.93988,             0.00015448,             0.00015448,             0.00015448
                     64,                0.52706,                 0.4075,                0.91937,                0.93369,                0.91995,                0.95044,                0.81801,                0.63422,                0.43419,                0.94069,             0.00015052,             0.00015052,             0.00015052
                     65,                0.53589,                0.40429,                0.91233,                0.95329,                0.90556,                0.95326,                 0.8091,                0.65042,                0.44448,                0.94471,             0.00014656,             0.00014656,             0.00014656
                     66,                0.49994,                0.37946,                0.91011,                0.95051,                0.90591,                0.95325,                0.80968,                 0.6511,                0.42173,                0.94564,              0.0001426,              0.0001426,              0.0001426
                     67,                0.51899,                0.37949,                0.91525,                0.95375,                0.90762,                 0.9532,                0.80777,                0.65223,                 0.4453,                 0.9432,             0.00013864,             0.00013864,             0.00013864
                     68,                0.51296,                0.38063,                0.90971,                0.93112,                0.91362,                0.95273,                0.81029,                0.64382,                 0.4423,                0.94361,             0.00013468,             0.00013468,             0.00013468
                     69,                0.52311,                0.39935,                0.91806,                0.91936,                0.92766,                0.95335,                0.80596,                0.65448,                0.43685,                0.94825,             0.00013072,             0.00013072,             0.00013072
                     70,                 0.5195,                0.39032,                0.90991,                0.95118,                 0.8948,                0.95364,                0.81045,                0.64433,                0.43498,                0.94118,             0.00012676,             0.00012676,             0.00012676
                     71,                0.50224,                 0.3677,                0.90645,                0.94783,                0.89656,                0.94481,                0.80224,                0.65081,                0.46157,                0.94623,              0.0001228,              0.0001228,              0.0001228
                     72,                0.50508,                0.38239,                0.91029,                0.95065,                 0.8941,                  0.953,                0.81142,                0.64052,                0.44441,                0.94334,             0.00011884,             0.00011884,             0.00011884
                     73,                0.50286,                0.38151,                0.90614,                0.92866,                0.90742,                0.93893,                0.79983,                0.65269,                0.47672,                 0.9479,             0.00011488,             0.00011488,             0.00011488
                     74,                0.50409,                0.37832,                0.90738,                0.92891,                0.92972,                 0.9529,                0.81569,                0.63929,                0.42991,                0.93716,             0.00011092,             0.00011092,             0.00011092
                     75,                0.49515,                0.37171,                0.89755,                0.92805,                0.92894,                 0.9574,                 0.8158,                0.64811,                0.42024,                 0.9426,             0.00010696,             0.00010696,             0.00010696
                     76,                0.48481,                0.35796,                0.90001,                0.92047,                0.92155,                0.94997,                 0.8062,                0.65852,                0.44643,                0.95167,               0.000103,               0.000103,               0.000103
                     77,                0.50066,                 0.3622,                0.90463,                0.93589,                0.91186,                0.94443,                0.80412,                0.64318,                0.44787,                0.94388,              9.904e-05,              9.904e-05,              9.904e-05
                     78,                0.49409,                 0.3649,                 0.9024,                0.93677,                  0.906,                0.94388,                0.80337,                0.64574,                0.45815,                0.94252,              9.508e-05,              9.508e-05,              9.508e-05
                     79,                0.49206,                0.37063,                0.90462,                0.92434,                0.92669,                0.95007,                0.80634,                0.64862,                0.44132,                0.94897,              9.112e-05,              9.112e-05,              9.112e-05
                     80,                0.47957,                0.35926,                0.89971,                0.93651,                0.90764,                0.94922,                0.80572,                0.64574,                0.42864,                0.94366,              8.716e-05,              8.716e-05,              8.716e-05
                     81,                0.47218,                0.35252,                0.90233,                0.92861,                0.92176,                0.94904,                0.80954,                0.65026,                0.42853,                0.94412,               8.32e-05,               8.32e-05,               8.32e-05
                     82,                0.49115,                0.35626,                0.90532,                0.94936,                0.90479,                0.95309,                0.80898,                0.65113,                 0.4271,                  0.947,              7.924e-05,              7.924e-05,              7.924e-05
                     83,                 0.4746,                0.35175,                0.90668,                0.94367,                0.91856,                0.95359,                0.81045,                0.65127,                0.41194,                0.94232,              7.528e-05,              7.528e-05,              7.528e-05
                     84,                0.47888,                0.34351,                0.89685,                0.93017,                0.92417,                0.95056,                0.80524,                0.65718,                0.43489,                0.95044,              7.132e-05,              7.132e-05,              7.132e-05
                     85,                0.47319,                 0.3486,                0.89837,                0.93522,                0.91477,                0.95073,                0.80911,                0.64334,                0.42768,                0.94246,              6.736e-05,              6.736e-05,              6.736e-05
                     86,                0.47046,                0.33435,                0.90134,                0.94019,                0.91668,                0.95459,                 0.8098,                0.64575,                0.42596,                0.94665,               6.34e-05,               6.34e-05,               6.34e-05
                     87,                0.47258,                0.34221,                0.90147,                0.93813,                0.91988,                0.95596,                0.81549,                0.64323,                0.42705,                0.94696,              5.944e-05,              5.944e-05,              5.944e-05
                     88,                0.45713,                0.33793,                0.89316,                0.93027,                0.93316,                 0.9554,                0.81151,                0.64306,                 0.4121,                0.94351,              5.548e-05,              5.548e-05,              5.548e-05
                     89,                0.46344,                0.33883,                0.89678,                0.93895,                0.92912,                0.95418,                0.81252,                0.64968,                0.41993,                0.94729,              5.152e-05,              5.152e-05,              5.152e-05
                     90,                0.47868,                0.34217,                 0.9058,                 0.9265,                0.92941,                0.95464,                0.81254,                0.64725,                0.41904,                0.94661,              4.756e-05,              4.756e-05,              4.756e-05
