                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.62175,                0.52269,                0.94687,                0.93799,                0.91823,                0.96747,                0.82389,                0.63578,                0.44896,                 0.9291,              0.0002614,              0.0002614,              0.0002614
                     37,                0.60499,                 0.5246,                0.93987,                0.93125,                0.93256,                0.95576,                0.80555,                0.64031,                0.44593,                 0.9323,             0.00025744,             0.00025744,             0.00025744
                     38,                0.61355,                0.52437,                0.94686,                0.94691,                0.92732,                0.96549,                0.81318,                 0.6483,                0.43739,                0.94247,             0.00025348,             0.00025348,             0.00025348
                     39,                0.60742,                0.51449,                 0.9457,                0.94803,                 0.9261,                0.95773,                0.80551,                0.65301,                0.44695,                0.94143,             0.00024952,             0.00024952,             0.00024952
                     40,                0.60366,                0.50678,                0.94181,                0.95103,                0.92157,                0.96291,                0.81006,                0.65844,                0.45778,                0.94637,             0.00024556,             0.00024556,             0.00024556
                     41,                0.60209,                0.49283,                0.94111,                0.93372,                0.93271,                0.95457,                 0.8082,                0.64392,                0.44534,                 0.9311,              0.0002416,              0.0002416,              0.0002416
                     42,                 0.5919,                0.50136,                0.94375,                 0.9405,                0.93077,                0.95405,                0.80743,                0.64308,                0.46121,                0.93432,             0.00023764,             0.00023764,             0.00023764
                     43,                0.58713,                0.47829,                0.93442,                0.93885,                0.91223,                0.96002,                0.82052,                0.63986,                0.44664,                0.93594,             0.00023368,             0.00023368,             0.00023368
                     44,                0.58107,                 0.4771,                0.93569,                0.95718,                0.90914,                0.96026,                0.81382,                0.63984,                 0.4374,                0.93344,             0.00022972,             0.00022972,             0.00022972
                     45,                0.59516,                0.49057,                0.93819,                0.95553,                0.92854,                0.96193,                 0.8094,                0.66189,                  0.432,                0.94566,             0.00022576,             0.00022576,             0.00022576
                     46,                0.58971,                0.48582,                0.93414,                0.94932,                0.92941,                0.95821,                0.81097,                0.64067,                0.43902,                0.93392,              0.0002218,              0.0002218,              0.0002218
                     47,                0.57874,                0.47549,                0.93541,                0.94948,                0.93146,                0.95997,                0.80875,                0.64466,                0.42464,                0.93521,             0.00021784,             0.00021784,             0.00021784
                     48,                0.57834,                0.45371,                0.93031,                0.93286,                0.93068,                0.95828,                0.80489,                 0.6666,                0.43601,                0.95188,             0.00021388,             0.00021388,             0.00021388
                     49,                0.58337,                0.46549,                0.93426,                0.94611,                0.93085,                0.96163,                0.81178,                0.64265,                0.41648,                0.94054,             0.00020992,             0.00020992,             0.00020992
                     50,                0.55865,                0.44365,                0.92214,                0.94032,                0.92852,                0.96571,                0.81508,                0.64725,                0.42305,                0.93723,             0.00020596,             0.00020596,             0.00020596
                     51,                 0.5701,                0.44551,                0.92952,                0.94851,                0.92185,                0.96724,                0.81634,                0.64807,                 0.4199,                0.94232,               0.000202,               0.000202,               0.000202
                     52,                0.55015,                0.43635,                0.91739,                0.94156,                0.91689,                0.95389,                0.80627,                0.65346,                0.44415,                0.94115,             0.00019804,             0.00019804,             0.00019804
                     53,                0.56161,                0.45166,                 0.9286,                0.94046,                0.92338,                 0.9578,                0.80775,                0.65411,                0.43491,                0.94553,             0.00019408,             0.00019408,             0.00019408
                     54,                0.56745,                 0.4463,                0.93273,                0.94763,                0.92085,                0.96457,                 0.8135,                0.65156,                0.42079,                0.93988,             0.00019012,             0.00019012,             0.00019012
                     55,                0.55626,                0.43457,                0.92958,                0.94845,                0.92337,                0.96137,                0.81343,                0.65496,                0.44074,                 0.9414,             0.00018616,             0.00018616,             0.00018616
                     56,                0.55907,                0.43703,                0.92007,                0.95593,                0.92333,                0.96583,                0.81812,                 0.6394,                0.41035,                0.94235,              0.0001822,              0.0001822,              0.0001822
                     57,                0.55601,                0.42776,                0.92614,                0.94895,                0.92193,                0.95895,                0.81274,                0.64581,                0.42804,                 0.9411,             0.00017824,             0.00017824,             0.00017824
                     58,                 0.5416,                0.41035,                0.91854,                0.94326,                0.93967,                 0.9608,                0.81535,                0.63719,                0.42138,                 0.9284,             0.00017428,             0.00017428,             0.00017428
                     59,                0.53955,                0.41892,                0.91396,                0.94709,                0.93502,                0.97096,                0.81715,                0.63884,                0.39573,                0.93866,             0.00017032,             0.00017032,             0.00017032
                     60,                0.54604,                0.42884,                 0.9196,                0.93689,                0.93665,                0.96329,                 0.8212,                 0.6314,                0.42239,                0.93203,             0.00016636,             0.00016636,             0.00016636
                     61,                 0.5318,                0.40244,                0.91615,                0.93746,                0.92138,                0.95267,                0.80925,                0.64559,                0.43407,                 0.9386,              0.0001624,              0.0001624,              0.0001624
                     62,                0.53627,                0.41603,                0.92112,                0.93217,                0.92391,                0.95699,                0.81808,                0.63643,                0.42366,                0.93446,             0.00015844,             0.00015844,             0.00015844
                     63,                0.53321,                0.40463,                0.92184,                0.95844,                 0.9255,                0.95965,                0.81584,                0.64154,                 0.4169,                0.93557,             0.00015448,             0.00015448,             0.00015448
                     64,                0.52427,                0.39861,                 0.9191,                 0.9502,                0.92069,                0.96331,                0.81761,                0.64646,                0.41954,                0.93988,             0.00015052,             0.00015052,             0.00015052
                     65,                0.53091,                0.40039,                0.90956,                0.95873,                0.91496,                0.96085,                0.81902,                0.64528,                 0.4113,                0.93635,             0.00014656,             0.00014656,             0.00014656
                     66,                0.49596,                 0.3851,                 0.9071,                0.93945,                0.93527,                0.96034,                0.82083,                0.63613,                0.41689,                 0.9377,              0.0001426,              0.0001426,              0.0001426
                     67,                0.51737,                0.38127,                0.91325,                 0.9539,                0.91755,                0.96188,                0.81748,                0.64299,                0.40772,                0.93995,             0.00013864,             0.00013864,             0.00013864
                     68,                0.51593,                0.38312,                0.90988,                0.94773,                0.92859,                0.95784,                 0.8127,                0.64828,                0.42646,                0.93866,             0.00013468,             0.00013468,             0.00013468
                     69,                0.52103,                0.40399,                0.91722,                0.94144,                0.92551,                0.95848,                0.81791,                0.64426,                0.42247,                0.94055,             0.00013072,             0.00013072,             0.00013072
                     70,                 0.5208,                0.39135,                0.91163,                 0.9556,                 0.9217,                0.96213,                0.81832,                0.65178,                0.40698,                0.94007,             0.00012676,             0.00012676,             0.00012676
                     71,                0.50655,                0.37133,                0.90811,                0.94545,                0.91468,                0.96091,                0.81503,                0.64632,                0.41748,                0.94154,              0.0001228,              0.0001228,              0.0001228
                     72,                0.50589,                0.38371,                0.90745,                0.95617,                0.91119,                0.96163,                  0.827,                0.63305,                0.41459,                0.93124,             0.00011884,             0.00011884,             0.00011884
                     73,                0.50541,                0.38312,                0.90724,                0.94734,                0.92163,                0.95859,                0.81329,                0.64553,                0.42578,                0.93713,             0.00011488,             0.00011488,             0.00011488
                     74,                0.50546,                0.37792,                0.90871,                0.94714,                 0.9484,                0.96604,                0.82061,                0.64827,                0.39003,                0.93863,             0.00011092,             0.00011092,             0.00011092
                     75,                0.49537,                0.37215,                0.89603,                0.95131,                0.94661,                0.96403,                0.82344,                0.64244,                0.38427,                0.93821,             0.00010696,             0.00010696,             0.00010696
                     76,                 0.4899,                0.35588,                0.90012,                0.95128,                0.92001,                0.95587,                 0.8185,                0.64168,                0.41022,                0.93888,               0.000103,               0.000103,               0.000103
                     77,                 0.5014,                0.35732,                0.90272,                0.95655,                0.93082,                 0.9635,                0.81665,                0.64654,                0.38966,                0.94166,              9.904e-05,              9.904e-05,              9.904e-05
                     78,                0.49553,                0.36537,                0.90467,                 0.9452,                0.94355,                 0.9639,                0.81941,                0.64691,                0.38275,                0.93905,              9.508e-05,              9.508e-05,              9.508e-05
